,location,longitude,latitude,cars_mean,peds_mean,bikes_mean
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,-79.3415987520867,43.7787085354688,32.93229166666667,0.0,0.0
1,Abell St / Sudbury St,-79.4235865566898,43.6411247455823,3.6744791666666665,4.0234375,1.6953125
2,Acacia Rd / Davisville Ave,-79.3896402100749,43.6997483319149,18.596354166666664,7.5859375,0.640625
3,Acacia Rd / Millwood Rd,-79.3899059850741,43.7011392231683,2.9583333333333335,3.7578125,0.4140625
4,Acorn Ave / Montesson St,-79.5405598436462,43.6387631966727,1.1979166666666667,0.203125,0.03125
5,Adanac Dr / Bellamy Rd S / McCowan District Park Trl,-79.2279579449578,43.7399877723604,4.035714285714286,1.8482142857142858,0.13392857142857142
6,Adelaide St E / Berkeley St,-79.3647581021371,43.6529957627124,22.3828125,7.6796875,0.7890625
7,Adelaide St E / Church St,-79.3749270754749,43.6511843860444,22.621279761904763,55.41517857142857,7.111607142857143
8,Adelaide St E / Jarvis St / St. James Park Trl,-79.3723459996958,43.6515440356511,34.98697916666667,33.30078125,1.2734375
9,Adelaide St E / Ontario St,-79.3661881334109,43.6526763492088,21.216145833333336,6.130208333333333,0.6640625
10,Adelaide St E / Parliament St,-79.3635815228183,43.6535748170951,27.36762152777778,8.380208333333334,2.063802083333333
11,Adelaide St E / Power St,-79.3627392262297,43.6540780647148,21.239583333333332,2.421875,0.265625
12,Adelaide St E / Sherbourne St,-79.3685975102878,43.6521573264635,25.547619047619047,39.8125,14.522321428571429
13,Adelaide St E / Victoria St,-79.3772451824927,43.6506690505876,19.534226190476193,63.96875,3.580357142857143
14,Adelaide St E / Yonge St / Adelaide St W,-79.3784257878661,43.6504222257725,20.84201388888889,128.41964285714286,9.034970238095239
15,Adelaide St W / Brant St / St. Andrew's Playground Trl,-79.3981268849155,43.6462242782473,14.738839285714286,34.91294642857143,9.892857142857142
16,Adelaide St W / Maud St,-79.3996019879058,43.6459396818402,10.513020833333332,6.65625,0.8125
17,Adelaide St W / Portland St,-79.4005902803869,43.6457437486301,15.977678571428571,42.058035714285715,10.225446428571429
18,Adelaide St W / Sheppard St,-79.3821309500822,43.6496147324885,16.154761904761905,57.02232142857143,4.915178571428571
19,Adelaide St W / York St,-79.3840695892107,43.6491933718994,16.489583333333332,101.15625,12.625
20,Adenmore Rd / Port Union Rd / Clappison Blvd,-79.137424289018,43.7813993146717,17.40625,2.51953125,0.05078125
21,Admiral Rd / Lowther Ave,-79.3994399521893,43.6700840817337,2.630208333333333,11.296875,1.1484375
22,Ainsdale Rd / Boem Ave,-79.2946720790252,43.7485899170793,1.3229166666666665,0.1875,0.0390625
23,Airdrie Rd / Lea Ave,-79.3654953926902,43.7053575586682,1.9226190476190474,1.8571428571428572,0.2544642857142857
24,Alameda Ave / Strader Ave,-79.438702717382,43.6940491545521,2.4107142857142856,0.7321428571428571,0.3125
25,Albert Ave / Stanley Ave,-79.4893917524208,43.6165562247241,2.557291666666667,1.3984375,0.0859375
26,Alberta Ave / Benson Ave / Rosemount Ave,-79.4330023580203,43.6784135523833,6.526785714285714,5.008928571428571,2.4419642857142856
27,Alberta Ave / Biggar Ave,-79.4333449145529,43.6791713664156,2.982142857142857,4.058035714285714,1.2857142857142858
28,Alberta Ave / Burlington Cres,-79.4327405034444,43.6777068942197,3.3318452380952377,3.5044642857142856,1.5535714285714286
29,Alberta Ave / Mount Royal Ave,-79.4324009433401,43.6769013009526,3.5431547619047623,2.455357142857143,1.6830357142857142
30,Alberta Ave / Tyrrel Ave / Mount Royal Parkette Trl,-79.4322376872412,43.6765120682539,3.424107142857143,3.5,1.3794642857142858
31,Albion Ave / Pharmacy Ave,-79.2848059979963,43.69563591402,10.6875,5.508928571428571,0.8125
32,Albion Rd / Armel Crt,-79.5457152446303,43.7212718260469,50.95684523809524,4.212053571428571,0.6138392857142857
33,Albion Rd / Bankfield Dr,-79.5543585626047,43.7305665321016,30.747395833333332,0.1796875,0.0390625
34,Albion Rd / Barker Ave,-79.556942204808,43.7334980826198,30.229166666666668,0.6383928571428571,0.16964285714285715
35,Albion Rd / Calstock Dr,-79.5583002395456,43.7340255901461,30.386904761904763,1.9866071428571428,0.19419642857142858
36,Albion Rd / Carrier Dr,-79.614279109673,43.7454939720337,29.98809523809524,0.9241071428571429,0.16741071428571427
37,Albion Rd / Codlin Cres / Claireport Cres,-79.63246065573,43.7477598263755,26.203869047619044,1.1183035714285714,0.06473214285714286
38,Albion Rd / Elmhurst Dr,-79.550565105481,43.7250968612604,39.58779761904761,2.388392857142857,0.3080357142857143
39,Albion Rd / Finch Ave W,-79.5892207941569,43.7411237317213,46.044642857142854,19.415178571428573,0.8616071428571429
40,Albion Rd / Golfdown Dr,-79.5488770544491,43.7236753719719,41.576884920634924,0.6763392857142857,0.22172619047619044
41,Albion Rd / Highway 27 N,-79.6075578953538,43.7442807313147,55.72842261904763,1.0055803571428572,0.26004464285714285
42,Albion Rd / Humberline Dr,-79.6220250810612,43.7468759766521,31.625,1.3080357142857142,0.16741071428571427
43,Albion Rd / Irwin Rd / Arcot Blvd,-79.5520886053754,43.7267389307615,33.167410714285715,1.4107142857142858,0.3392857142857143
44,Albion Rd / Islington Ave,-79.5653055664202,43.7372367253354,58.08829365079365,7.638392857142857,0.36607142857142855
45,Albion Rd / Kipling Ave,-79.5803271774737,43.7396865864766,51.42782738095237,6.996651785714286,0.44754464285714285
46,Albion Rd / Martin Grove Rd,-79.5942106991756,43.7419248325863,46.98046875,9.3671875,0.234375
47,Albion Rd / Sanagan Rd / Benstrow Ave,-79.5761793486292,43.7389986995553,34.95982142857143,2.3080357142857144,0.3549107142857143
48,Albion Rd / Shendale Dr,-79.5475426942659,43.7225507429905,48.558035714285715,2.325892857142857,0.3392857142857143
49,Albion Rd / Silverstone Dr,-79.6000947149771,43.7429529367567,39.158482142857146,4.027529761904762,0.4992559523809524
50,Albion Rd / Steeles Ave W,-79.6392568672162,43.7498464995276,55.421875,0.49609375,0.0078125
51,Albion Rd / Steinway Blvd,-79.6286582610184,43.7481128944354,27.504464285714285,0.8816964285714286,0.14732142857142858
52,Albion Rd / Thistle Down Blvd / Riverdale Dr,-79.5613908329536,43.7353564147305,35.180059523809526,3.861607142857143,0.24776785714285715
53,Albion Rd / Westmore Dr,-79.6039153504643,43.7436403162386,38.370535714285715,4.595982142857143,0.3950892857142857
54,Albion Rd / Weston Rd Albion Rd Ramp / Humber River Recreational Trl,-79.5390927819658,43.7176553924753,49.957589285714285,0.8616071428571429,0.28125
55,Albion Rd: Kipling Ave - Finch Ave W,-79.58477500000001,43.740405,24.224702380952383,3.9441964285714284,0.22991071428571427
56,Alcorn Ave / Walker Ave,-79.3963270531152,43.6811634659452,0.43452380952380953,0.9166666666666666,0.3373015873015873
57,Aldgate Ave / Ringley Ave,-79.4871902424277,43.6308051489874,2.0572916666666665,0.828125,0.2421875
58,Allen Ave / Queens Ave,-79.4915619020868,43.6126588095711,0.9947916666666667,0.453125,0.109375
59,Allen Rd / Allen Rd / William R Allen Rd / Transit Rd / Wilson Hs S Allen Rd Ramp,-79.4543107234713,43.7418246574589,85.7987351190476,0.0,0.015625
60,Allen Rd / Eglinton Ave W,-79.4364612149058,43.6986852233105,47.83382936507936,18.058035714285715,0.6428571428571429
61,Allenvale Ave / Lauder Ave,-79.4453590118797,43.6925440304319,1.601934523809524,0.8794642857142857,0.24553571428571427
62,Alma Ave / Dufferin St / Brixton Way,-79.4295137511319,43.6446231748455,21.183035714285715,7.941964285714286,2.642857142857143
63,Alness St: Finch Ave W - Finch Corridor Trl,-79.4721439241849,43.7711059666545,19.252604166666668,0.7578125,0.0078125
64,Alton Towers Crcl / Goldhawk Trl,-79.2756618808985,43.8222566305451,7.528645833333334,0.8984375,0.203125
65,Amberjack Blvd / Bellamy Rd N / Lynnbrook Dr,-79.2412345788558,43.7726234930529,19.26171875,1.0,0.0703125
66,Amberjack Blvd / Brimorton Dr,-79.2358111426219,43.7706129168772,4.188988095238096,0.6741071428571429,0.0625
67,Amelia St / Parliament St,-79.3691778581393,43.6672618266464,17.291666666666664,16.964285714285715,1.9375
68,Anderson Ave / Duplex Ave,-79.400482994393,43.7042206071305,9.169270833333332,1.8125,0.046875
69,Anglesey Blvd / The Kingsway,-79.5218019951629,43.6639746856002,10.5625,4.3125,0.453125
70,Anndale Rd / Wood Glen Rd,-79.2753893364166,43.6836532217874,0.6744791666666667,0.265625,0.1484375
71,Apsley Rd / Yonge Blvd,-79.4129394441065,43.7391901354898,7.734375,0.4765625,0.0
72,Archer Rd / Browside Ave,-79.415022421289,43.6962829845529,1.1068376068376067,2.2628205128205128,0.07371794871794872
73,Arcot Blvd / Tandridge Cres,-79.5495375136716,43.7276492080606,2.813988095238095,1.3348214285714286,0.10267857142857142
74,Argyle Pl / Bruce St,-79.4187021954044,43.6457504128457,0.3854166666666667,0.40625,0.28125
75,Argyle St / Argyle Pl,-79.4191835991821,43.6470478602004,0.38541666666666663,6.734375,5.3671875
76,Argyle St / Givins St,-79.4185272958869,43.6471794173743,0.7994791666666666,9.609375,5.6171875
77,Argyle St / Lisgar St,-79.4246824983494,43.6459310712431,1.6822916666666667,6.421875,5.3671875
78,Argyle St / Ln E Gladstone S Argyle / Antonio Lopes Lane,-79.4275769924148,43.6453414437188,1.3880208333333333,5.4609375,1.9140625
79,Argyle St / Shaw St,-79.4173227055942,43.647437701838,7.171875,4.0625,10.578125
80,Arrow Rd / Deerhide Cres,-79.532792354308,43.749487873219,17.997395833333336,0.3828125,0.0234375
81,Arrowstook Rd / Burbank Dr / Lockton Crt,-79.3770531439869,43.7712709011435,9.360119047619047,2.09375,0.3125
82,Arundel Ave / Mortimer Ave,-79.3533182278572,43.6846346377559,15.647321428571429,0.29464285714285715,0.39732142857142855
83,Ashburnham Rd / Greenlaw Ave,-79.4459128958628,43.6729225992774,2.2421875,1.09375,0.3828125
84,Ashtonbee Rd / Pharmacy Ave,-79.2986154705956,43.7285237278064,37.84226190476191,2.9642857142857144,0.125
85,Ashtonbee Rd / Thermos Rd,-79.2824098015945,43.7321129630575,22.427083333333332,0.609375,0.0
86,Assiniboine Rd / Sentinel Rd,-79.501701808334,43.7682682903888,10.205729166666666,4.1015625,0.0234375
87,Athletic Ave / Greenwood Ave,-79.3274084260823,43.6694504161369,9.572916666666668,1.9910714285714286,0.7544642857142857
88,Atlantic Ave / Liberty St,-79.420539255788,43.6382959473866,10.731770833333332,29.4375,3.234375
89,Atlantic Ave / Snooker St,-79.420989769365,43.639476970537,6.544270833333333,10.7265625,2.5078125
90,Atlas Ave / Gloucester Grv,-79.4377526704671,43.6966572509812,5.995535714285714,2.9910714285714284,0.26785714285714285
91,Atlee Ave / Wilkie Ave,-79.2522449329953,43.7148421837031,1.8984375,0.9765625,0.078125
92,Attwell Dr / McLachlan Dr,-79.58852016648,43.6933510060695,5.96875,0.2421875,0.0078125
93,Augusta Ave / Baldwin St,-79.4020155536515,43.654503609539,2.4296875,26.7265625,5.578125
94,Augusta Ave / Nassau St,-79.4023058026353,43.6552217789148,4.747395833333333,55.3359375,6.2109375
95,Augusta Ave / Oxford St,-79.4026524129958,43.6560891298698,3.361979166666667,37.2265625,5.0390625
96,Augusta Ave / Wales Ave / Bellevue Square Park Trl,-79.4015526502134,43.6533482479577,2.057291666666667,5.095703125,2.39453125
97,Austin Ter / Lyndhurst Crt,-79.4121476167684,43.6784257828723,0.3645833333333333,1.6484375,0.0703125
98,Ava Rd / Atlas Ave,-79.4371808270166,43.6952407923503,3.9791666666666665,5.7734375,0.390625
99,Ava Rd / Chiltern Hill Rd,-79.4265620327562,43.6974965681937,4.855654761904762,2.75,0.15178571428571427
100,Ava Rd / Glen Cedar Rd,-79.4296672553972,43.6968280601347,6.65922619047619,4.986607142857143,0.8169642857142857
101,Ava Rd / Strathearn Rd,-79.4335696026581,43.6959815821338,8.267857142857142,3.7857142857142856,0.28125
102,Ava Rd / Winnett Ave,-79.4359754197162,43.6955080379418,5.896367521367521,3.2403846153846154,0.32051282051282054
103,Avenue Rd / 401 C E Avenue Rd Ramp / Avenue Rd N 401 C E Busway  ,-79.4222201302703,43.7412258014006,50.24609375,0.25,0.02734375
104,Avenue Rd / 401 C W Avenue Rd Ramp,-79.4242216641848,43.7432201410806,31.351562500000004,0.3125,0.0390625
105,Avenue Rd / Balmoral Ave,-79.4005303647662,43.6843098010236,47.33463541666667,8.6328125,0.69921875
106,Avenue Rd / Beltline Trl,-79.4058692695405,43.6981808368327,22.447916666666664,5.796875,1.140625
107,Avenue Rd / Brooke Ave,-79.4195001818525,43.7332447564873,46.661458333333336,10.6328125,0.3046875
108,Avenue Rd / Carmichael Ave,-79.4205844182202,43.737561918096,43.7421875,2.7421875,0.078125
109,Avenue Rd / Chaplin Cres,-79.4061060782011,43.6987641528231,34.68965126811594,4.367866847826087,0.5064538043478262
110,Avenue Rd / Chicora Ave,-79.3972495993442,43.6763624300177,32.598214285714285,8.59375,1.7767857142857142
111,Avenue Rd / College View Ave,-79.4074319049425,43.7018335281374,28.803385416666668,5.34765625,0.23828125
112,Avenue Rd / Cottingham St,-79.3987040827242,43.6799224707405,43.63141025641025,3.233974358974359,0.8621794871794872
113,Avenue Rd / Cumberland St,-79.3944800876542,43.669578695943,30.2734375,12.59375,3.3515625
114,Avenue Rd / Davenport Rd,-79.3965725562657,43.6747009227212,63.702752976190474,25.823660714285715,4.818080357142857
115,Avenue Rd / Dunblaine Ave,-79.4201032501239,43.7359232159138,44.4375,11.359375,0.15625
116,Avenue Rd / Dupont St / Jay Macpherson Green Trl,-79.3976267636034,43.6772026544776,46.406547619047615,9.160714285714286,1.8401785714285712
117,Avenue Rd / Edmund Ave,-79.3997532741003,43.6825127670553,42.00595238095237,5.910714285714286,0.4419642857142857
118,Avenue Rd / Eglinton Ave W,-79.4085161050218,43.7045984592142,47.12475198412699,20.328125,1.101190476190476
119,Avenue Rd / Elwood Blvd,-79.4099215974238,43.7069130286888,34.83854166666667,8.2578125,0.3671875
120,Avenue Rd / Fairlawn Ave,-79.4179068799504,43.7279011117758,45.828125,12.0078125,0.1875
121,Avenue Rd / Farnham Ave,-79.4001642502436,43.6834941974118,45.200520833333336,4.7890625,0.3515625
122,Avenue Rd / Glencairn Ave,-79.4122996967229,43.7160054708112,45.94270833333333,1.484375,0.0625
123,Avenue Rd / Glengrove Ave W,-79.4134727066498,43.7169385078918,42.677083333333336,3.5625,0.3203125
